date,race_name,head,frame,house_num,pop,rank,distance,rank_dis
2023/12/24,有馬記念(G1),16,6,12,14,7,芝2500,0.7
2023/11/04,BCF&Mターフ(G1),12, ,5,4,4,芝2000, 
2023/09/24,産経賞オールカマー(G2),15,8,15,9,9,芝2200,0.8
2023/08/20,札幌記念(G2),15,2,2,6,9,芝2000,2.5
2023/03/25,ドバイシーマC(G1),10, ,10,6,6,芝2410, 
2022/12/11,香港ヴァーズ(G1),10, ,9,2,1,芝2400, 
2022/11/13,エリザベス女王杯(G1),18,7,13,5,2,芝2200,0.3
2022/08/21,札幌記念(G2),16,5,9,5,3,芝2000,0.2
2022/06/26,宝塚記念(G1),17,6,12,9,7,芝2200,1.1
2022/04/03,大阪杯(G1),16,4,7,9,16,芝2000,2.3
