date,race_name,head,frame,house_num,pop,rank,distance,rank_dis
2023/12/24,有馬記念(G1),16,1,2,8,5,芝2500,0.3
2023/11/04,BCターフ(G1),11, ,1,5,3,芝2400, 
2023/08/20,札幌記念(G2),15,3,4,5,11,芝2000,3.3
2023/03/25,ドバイシーマC(G1),10, ,6,3,5,芝2410, 
2022/11/27,ジャパンC(G1),18,7,15,1,2,芝2400,0.1
2022/10/30,天皇賞(秋)(G1),15,5,8,2,5,芝2000,0.6
2022/06/15,プリンスオブウェール(G1),5, ,3,2,4,芝1990, 
2022/03/26,ドバイシーマクラシッ(G1),15, ,12,4,1,芝2410, 
2021/11/28,ジャパンC(G1),18,2,4,2,3,芝2400,0.5
2021/09/26,神戸新聞杯(G2),10,8,10,1,4,芝2200,0.7
