date,race_name,head,frame,house_num,pop,rank,distance,rank_dis
2023/12/24,有馬記念(G1),16,8,16,7,2,芝2500,0.1
2023/11/26,ジャパンC(G1),18,8,17,5,3,芝2400,0.8
2023/05/14,ヴィクトリアマイル(G1),16,1,2,1,3,芝1600,0.1
2023/04/02,大阪杯(G1),16,6,11,1,2,芝2000,0.0
2022/10/16,秋華賞(G1),16,5,9,1,3,芝2000,0.1
2022/05/22,優駿牝馬(G1),17,8,18,3,1,芝2400,-0.2
2022/04/10,桜花賞(G1),18,4,8,7,1,芝1600,0.0
2022/02/12,デイリー杯クイーンC(G3),16,5,9,1,2,芝1600,0.1
2022/01/10,フェアリーS(G3),16,2,3,1,2,芝1600,0.1
2021/11/21,赤松賞(1勝クラス),9,8,9,1,3,芝1600,0.5
