date,race_name,head,frame,house_num,pop,rank,distance,rank_dis
2023/12/24,有馬記念(G1),16,5,9,15,16,芝2500,1.5
2023/11/05,アルゼンチン共和国杯(G2),18,7,14,4,3,芝2500,0.2
2023/10/09,京都大賞典(G2),14,6,10,4,9,芝2400,1.0
2023/05/28,目黒記念(G2),18,5,10,4,1,芝2500,0.0
2023/03/25,日経賞(G2),12,8,12,4,6,芝2500,1.9
2022/11/06,アルゼンチン共和国杯(G2),18,8,16,3,3,芝2500,0.2
2022/09/04,新潟記念(G3),18,3,5,1,5,芝2000,0.6
2022/07/10,七夕賞(G3),16,3,6,1,2,芝2000,0.4
2022/05/01,天皇賞(春)(G1),18,5,9,5,4,芝3200,1.8
2022/03/26,日経賞(G2),15,4,7,2,3,芝2500,0.1
