馬名,勝率平均,着差平均,上り平均,馬体重増減平均,父の勝率平均,父の父の勝率平均,父の母の勝率平均,母の勝率平均,母の父の勝率平均,母の母の勝率平均
ウインマリリン,5.476190476190476,1.05,36.472222222222214,1.0,4.3478260869565215,2.8666666666666667,7.0,5.777777777777778,,
ディープボンド,5.12,0.6736842105263158,35.82727272727272,0.2727272727272727,2.5,1.0769230769230769,,5.681818181818182,5.037037037037037,6.0
ホウオウエミーズ,5.379310344827586,0.652,35.455172413793115,-0.06896551724137931,1.368421052631579,1.25,6.0,4.111111111111111,1.0,13.0
ヒートオンビート,3.1923076923076925,0.5608695652173913,34.98461538461538,0.46153846153846156,1.25,,,5.954545454545454,1.0769230769230769,
アイアンバローズ,5.555555555555555,0.8958333333333334,35.51111111111111,1.1111111111111112,2.2857142857142856,3.9375,8.391304347826088,,,
タイトルホルダー,3.8823529411764706,0.7555555555555555,35.8625,0.23529411764705882,1.4444444444444444,1.25,4.095238095238095,4.681818181818182,3.0,
シャフリヤール,3.3846153846153846,0.6222222222222222,34.75555555555556,-1.1111111111111112,1.0769230769230769,,,,,
スルーセブンシーズ,3.8461538461538463,0.4625,35.05833333333333,1.6666666666666667,4.645161290322581,3.9375,8.391304347826088,6.2592592592592595,1.9,
プラダリア,3.6923076923076925,0.4818181818181818,34.96923076923077,0.9230769230769231,1.0769230769230769,,,8.461538461538462,1.9,9.142857142857142
ライラック,6.846153846153846,0.8181818181818182,34.792307692307695,0.6153846153846154,2.2857142857142856,3.9375,8.391304347826088,8.041666666666666,1.25,6.875
スターズオンアース,2.090909090909091,0.2,33.845454545454544,2.909090909090909,1.4444444444444444,1.25,4.095238095238095,,,7.0
ドウデュース,4.0,0.4333333333333333,34.233333333333334,-0.8888888888888888,4.368421052631579,,4.0,,,
ジャスティンパレス,3.3333333333333335,0.5857142857142857,34.99166666666667,2.0,1.0769230769230769,,,,,
ソールオリエンス,1.6666666666666667,0.3,34.28333333333333,0.6666666666666666,2.55,5.7272727272727275,,,3.0,
ハーパー,2.2857142857142856,0.3666666666666667,34.614285714285714,0.8571428571428571,4.368421052631579,,4.0,,,
タスティエーラ,1.8333333333333333,0.25,34.46666666666667,-0.6666666666666666,6.2,2.0,,6.75,3.9166666666666665,5.9375
