date,race_name,head,frame,house_num,pop,rank,distance,rank_dis
2023/12/24,有馬記念(G1),16,4,7,13,11,芝2500,0.9
2023/12/02,ステイヤーズS(G2),16,4,7,8,1,芝3600,-0.4
2023/10/09,京都大賞典(G2),14,8,14,13,11,芝2400,1.4
2023/04/30,天皇賞(春)(G1),17,3,5,16,13,芝3200,2.2
2023/03/19,阪神大賞典(G2),14,5,8,4,7,芝3000,1.3
2023/01/22,東海テレビ杯東海S(G2),15,8,15,9,10,ダ1800,2.1
2022/12/03,ステイヤーズS(G2),14,8,13,2,4,芝3600,0.5
2022/10/10,京都大賞典(G2),14,4,6,7,6,芝2400,0.9
2022/06/26,宝塚記念(G1),17,3,5,15,15,芝2200,2.5
2022/05/01,天皇賞(春)(G1),18,1,1,3,5,芝3200,2.1
