date,race_name,head,frame,house_num,pop,rank,distance,rank_dis
2023/12/24,有馬記念(G1),16,8,15,3,12,芝2500,0.9
2023/10/01,凱旋門賞(G1),15, ,9,4,4,芝2400, 
2023/06/25,宝塚記念(G1),17,3,6,10,2,芝2200,0.0
2023/03/11,中山牝馬S(G3),14,5,8,2,1,芝1800,-0.2
2023/01/21,初富士S(3勝クラス),14,4,6,2,1,芝2000,-0.2
2022/08/20,日本海S(3勝クラス),13,7,10,3,2,芝2200,0.0
2022/06/19,マーメイドS(G3),16,1,1,2,10,芝2000,1.3
2022/03/06,湾岸S(3勝クラス),16,7,13,2,3,芝2200,0.1
2021/10/17,秋華賞(G1),16,1,1,7,11,芝2000,1.1
2021/09/11,紫苑S(G3),18,1,1,4,2,芝2000,0.3
