date,race_name,head,frame,house_num,pop,rank,distance,rank_dis
2023/12/24,有馬記念(G1),16,2,3,16,10,芝2500,0.8
2023/11/12,福島記念(G3),16,3,6,3,1,芝2000,0.0
2023/10/22,新潟牝馬S(L),13,3,3,1,2,芝2200,0.2
2023/07/09,七夕賞(G3),16,1,2,13,3,芝2000,0.2
2023/06/18,マーメイドS(G3),13,4,5,10,3,芝2000,0.4
2023/04/22,福島牝馬S(G3),15,6,10,7,12,芝1800,0.6
2023/02/19,小倉大賞典(G3),16,7,13,4,5,芝1800,0.6
2022/11/13,エリザベス女王杯(G1),18,3,6,18,7,芝2200,1.2
2022/10/23,新潟牝馬S(OP),14,4,6,8,1,芝2200,-0.1
2022/08/27,BSN賞(L),15,7,13,15,6,ダ1800,1.1
